NCTC_9422	vibrio_cholerae_biotype_el_tor				
NCTC_9421	vibrio_cholerae_biotype_el_tor				
NCTC_9420	vibrio_cholerae_biotype_el_tor				
NCTC_9419	Serratia_rubidaea				
NCTC_9415	Streptococcus_agalactiae				
NCTC_9414	Streptococcus_				
NCTC_9413	Streptococcus_				
NCTC_9412	Streptococcus_agalactiae				
NCTC_9411	Streptococcus_agalactiae				
NCTC_9410	Streptococcus_agalactiae				
NCTC_9409	Streptococcus_agalactiae				
NCTC_9396	Enterobacter_cloacae				
NCTC_9395	Enterobacter_cloacae				
NCTC_9394	Enterobacter_cloacae				
NCTC_9393	Staphylococcus_aureus				
NCTC_9392	Neisseria_meningitidis				
NCTC_9391	Neisseria_meningitidis				
NCTC_9390	Neisseria_meningitidis				
NCTC_9388	Neisseria_meningitidis				
NCTC_9381	Pantoea_agglomerans				
NCTC_9380	Mannheimia_haemolytica				
NCTC_9379	Micrococcus_luteus				
NCTC_9377	Chromobacterium_violaceum				
NCTC_9376	Chromobacterium_violaceum				
NCTC_9374	Chromobacterium_violaceum				
NCTC_9373	Chromobacterium_violaceum				
NCTC_9372	Chromobacterium_violaceum				
NCTC_9371	Chromobacterium_violaceum				
NCTC_9370	Chromobacterium_violaceum				
NCTC_9369	Staphylococcus_aureus				
NCTC_9368	Shigella_				
NCTC_9367	Shigella_				
NCTC_9366	Shigella_				
NCTC_9365	Shigella_boydii				
NCTC_9364	Shigella_				
NCTC_9363	Shigella_boydii				
NCTC_9362	Shigella_boydii				
NCTC_9361	Shigella_boydii				
NCTC_9360	Shigella_boydii				
NCTC_9359	Shigella_boydii				
NCTC_9358	Shigella_boydii				
NCTC_9357	Shigella_boydii				
NCTC_9356	Shigella_boydii				
NCTC_9355	Shigella_boydii				
NCTC_9354	Shigella_boydii				
NCTC_9353	Shigella_boydii				
NCTC_9352	Shigella_dysenteriae				
NCTC_9351	Shigella_dysenteriae				
NCTC_9350	Shigella_dysenteriae				
NCTC_9349	Shigella_dysenteriae				
NCTC_9348	Shigella_dysenteriae				
NCTC_9347	Shigella_dysenteriae				
NCTC_9346	Shigella_dysenteriae				
NCTC_9345	Shigella_dysenteriae				
NCTC_9344	Bacteroides_fragilis				
NCTC_9343	Bacteroides_fragilis				
NCTC_934	corynebacterium_segmentosum				
NCTC_9338	Prevotella_melaninogenica				
NCTC_9337	Prevotella_melaninogenica				
NCTC_9336	Prevotella_nigrescens				
NCTC_9333	Shigella_boydii				
NCTC_9332	Shigella_boydii				
NCTC_9331	Shigella_boydii				
NCTC_9330	Shigella_boydii				
NCTC_9329	Shigella_boydii				
NCTC_9328	Shigella_boydii				
NCTC_9327	Shigella_boydii				
NCTC_9325	Salmonella_paratyphi				
NCTC_9324	salmonella_enterica_subsp._enterica				
NCTC_9323	unidentified_salmonella_sp.				
NCTC_9322	Salmonella_paratyphi				
NCTC_9321	Shigella_boydii				
NCTC_9320	Mycobacterium_bovis				
NCTC_9318	Staphylococcus_aureus				
NCTC_9317	Staphylococcus_aureus				
NCTC_9315	Staphylococcus_aureus				
NCTC_9313	Staphylococcus_aureus				
NCTC_9311	Staphylococcus_aureus				
NCTC_9309	Staphylococcus_aureus				
NCTC_9307	Staphylococcus_aureus				
NCTC_9306	Streptococcus_pyogenes				
NCTC_9305	Staphylococcus_aureus				
NCTC_9303	Staphylococcus_aureus				
NCTC_9301	Staphylococcus_aureus				
NCTC_926	Bacillus_mycoides				
NCTC_9242	Salmonella_				
NCTC_9240	salmonella_enterica_subsp._enterica				
NCTC_9239	vibrio_alcaligenes				
NCTC_9238	Cronobacter_sakazakii				
NCTC_92	salmonella_enterica_subsp._enterica				
NCTC_9189	Klebsiella_				
NCTC_9188	Klebsiella_				
NCTC_9187	Klebsiella_				
NCTC_9186	Klebsiella_				
NCTC_9185	Klebsiella_				
NCTC_9184	Klebsiella_				
NCTC_9183	Klebsiella_				
NCTC_9182	Klebsiella_				
NCTC_9181	Klebsiella_				
NCTC_9180	Klebsiella_				
NCTC_9179	Klebsiella_				
NCTC_9178	Klebsiella_				
NCTC_9177	Klebsiella_pneumoniae				
NCTC_9176	Klebsiella_				
NCTC_9175	Klebsiella_				
NCTC_9174	Klebsiella_				
NCTC_9173	Klebsiella_				
NCTC_9172	Klebsiella_				
NCTC_9171	Klebsiella_				
NCTC_9170	Klebsiella_				
NCTC_9169	Klebsiella_				
NCTC_9168	Klebsiella_				
NCTC_9167	Klebsiella_				
NCTC_9166	Klebsiella_				
NCTC_9165	Klebsiella_				
NCTC_9164	Klebsiella_				
NCTC_9163	Klebsiella_				
NCTC_9162	Klebsiella_				
NCTC_9161	Klebsiella_				
NCTC_9160	Klebsiella_				
NCTC_9159	Klebsiella_				
NCTC_9158	Klebsiella_				
NCTC_9157	Klebsiella_				
NCTC_9156	Klebsiella_				
NCTC_9155	Klebsiella_				
NCTC_9154	Klebsiella_				
NCTC_9153	Klebsiella_				
NCTC_9152	Klebsiella_				
NCTC_9151	Klebsiella_				
NCTC_9150	Klebsiella_				
NCTC_9149	Klebsiella_				
NCTC_9148	Klebsiella_				
NCTC_9147	Klebsiella_				
NCTC_9146	Klebsiella_				
NCTC_9145	Klebsiella_				
NCTC_9144	Klebsiella_				
NCTC_9143	Klebsiella_				
NCTC_9142	Klebsiella_				
NCTC_9141	Klebsiella_				
NCTC_9140	Klebsiella_				
NCTC_9139	Klebsiella_				
NCTC_9138	Klebsiella_				
NCTC_9137	Klebsiella_				
NCTC_9136	Klebsiella_				
NCTC_9135	Klebsiella_				
NCTC_9134	Klebsiella_				
NCTC_9133	Klebsiella_				
NCTC_9132	Klebsiella_				
NCTC_9131	Klebsiella_				
NCTC_9130	Klebsiella_				
NCTC_9129	Klebsiella_				
NCTC_9128	Klebsiella_				
NCTC_9127	Klebsiella_				
NCTC_9125	Salmonella_				
NCTC_9124	Streptococcus_				
NCTC_9123	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9122	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9121	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9120	escherichia_coli_serotypes:_o_antigen_series				
NCTC_912	Pseudomonas_putida				
NCTC_9119	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9118	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9117	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9116	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9114	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9113	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9112	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9111	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9110	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9109	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9108	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9107	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9106	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9105	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9104	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9103	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9102	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9101	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9100	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9099	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9098	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9097	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9096	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9095	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9094	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9093	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9092	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9091	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9090	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9089	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9088	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9087	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9086	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9085	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9084	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9083	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9082	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9081	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9080	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9079	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9078	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9077	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9076	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9075	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9074	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9073	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9072	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9071	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9070	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9069	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9068	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9067	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9066	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9065	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9064	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9063	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9062	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9061	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9060	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9059	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9058	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9057	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9056	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9055	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9054	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9053	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9052	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9051	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9050	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9049	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9048	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9047	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9046	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9045	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9044	escherichia_coli_serotypes:_o_antigen_series				
