DSM_No	Name	Recommended_T_(C)	Domain
44008	Actinomadura_sp.	28	Bacteria
44009	Actinomadura_sp.	28	Bacteria
44763	Actinomadura_sp.	28	Bacteria
45124	Actinomadura_sp.	28	Bacteria
46173	Actinomadura_sp.	28	Bacteria
45233	Actinomadura_sputi	28	Bacteria
43927	Actinomadura_umbrina	37	Bacteria
43358	Actinomadura_verrucosospora	37	Bacteria
46190	Actinomadura_verrucosospora	28	Bacteria
43765	Actinomadura_vinacea	28	Bacteria
44433	Actinomadura_viridilutea	45	Bacteria
43175	Actinomadura_viridis	37	Bacteria
43462	Actinomadura_viridis	28	Bacteria
46742	Actinomadura_xylanilytica	28	Bacteria
1145	Actinomucor_elegans	24	Fungi
1174	Actinomucor_elegans	24	Fungi
63362	Actinomucor_elegans	24	Fungi
43014	Actinomyces_bovis	37	Bacteria
15435	Actinomyces_bowdenii	37	Bacteria
15536	Actinomyces_canis	37	Bacteria
15803	Actinomyces_cardiffensis	37	Bacteria
15415	Actinomyces_catuli	37	Bacteria
15436	Actinomyces_coleocanis	37	Bacteria
19115	Actinomyces_dentalis	37	Bacteria
20671	Actinomyces_denticolens	37	Bacteria
11076	Actinomyces_europaeus	37	Bacteria
11077	Actinomyces_europaeus	37	Bacteria
11078	Actinomyces_europaeus	37	Bacteria
26657	Actinomyces_europaeus	37	Bacteria
15537	Actinomyces_funkei	37	Bacteria
6843	Actinomyces_georgiae	37	Bacteria
6844	Actinomyces_gerencseriae	37	Bacteria
15540	Actinomyces_graevenitzii	37	Bacteria
22168	Actinomyces_hominis	35	Bacteria
15629	Actinomyces_hongkongensis	37	Bacteria
20732	Actinomyces_hordeovulneris	37	Bacteria
10695	Actinomyces_hyovaginalis	37	Bacteria
43011	Actinomyces_israelii	37	Bacteria
43320	Actinomyces_israelii	37	Bacteria
43323	Actinomyces_israelii	37	Bacteria
23038	Actinomyces_johnsonii	37	Bacteria
15383	Actinomyces_marimammalium	37	Bacteria
23047	Actinomyces_massiliensis	37	Bacteria
20733	Actinomyces_meyeri	37	Bacteria
17233	Actinomyces_naeslundii	37	Bacteria
43013	Actinomyces_naeslundii	37	Bacteria
19116	Actinomyces_nasicola	37	Bacteria
26713	Actinomyces_naturae	37	Bacteria
8577	Actinomyces_neuii_subsp._anitratus	37	Bacteria
8576	Actinomyces_neuii_subsp._neuii	37	Bacteria
19120	Actinomyces_odontolyticus	37	Bacteria
43331	Actinomyces_odontolyticus	37	Bacteria
17234	Actinomyces_oricola	37	Bacteria
23056	Actinomyces_oris	37	Bacteria
15433	Actinomyces_radicidentis	37	Bacteria
9169	Actinomyces_radingae	37	Bacteria
27982	Actinomyces_ruminicola	37	Bacteria
43318	Actinomyces_sp.	37	Bacteria
43322	Actinomyces_sp.	37	Bacteria
43329	Actinomyces_sp.	37	Bacteria
15538	Actinomyces_suimastitidis	37	Bacteria
23838	Actinomyces_timonensis	37	Bacteria
9168	Actinomyces_turicensis	37	Bacteria
26658	Actinomyces_turicensis	37	Bacteria
15434	Actinomyces_urogenitalis	37	Bacteria
15804	Actinomyces_vaccimaxillae	37	Bacteria
43327	Actinomyces_viscosus	37	Bacteria
43798	Actinomyces_viscosus	37	Bacteria
24894	Actinomyces_weissii	37	Bacteria
45873	Actinomycetospora_atypica	28	Bacteria
45062	Actinomycetospora_chiangmaiensis	28	Bacteria
45769	Actinomycetospora_chibensis	28	Bacteria
45770	Actinomycetospora_chlora	28	Bacteria
45771	Actinomycetospora_cinnamomea	28	Bacteria
45772	Actinomycetospora_corticicola	28	Bacteria
45811	Actinomycetospora_iriomotensis	28	Bacteria
45773	Actinomycetospora_lutea	28	Bacteria
45862	Actinomycetospora_rishiriensis	28	Bacteria
45774	Actinomycetospora_straminea	28	Bacteria
45775	Actinomycetospora_succinea	28	Bacteria
46707	Actinophytocola_burenkhanensis	28	Bacteria
45659	Actinophytocola_corallina	28	Bacteria
45828	Actinophytocola_gilvus	28	Bacteria
45499	Actinophytocola_oryzae	28	Bacteria
45939	Actinophytocola_sediminis	28	Bacteria
45660	Actinophytocola_timorensis	28	Bacteria
45854	Actinophytocola_xinjiangensis	28	Bacteria
45518	Actinoplanes_abujensis	28	Bacteria
45850	Actinoplanes_atraurantiacus	28	Bacteria
43031	Actinoplanes_auranticolor	28	Bacteria
43805	Actinoplanes_brasiliensis	28	Bacteria
46140	Actinoplanes_brasiliensis	28	Bacteria
43148	Actinoplanes_campanulatus	28	Bacteria
44859	Actinoplanes_capillaceus	28	Bacteria
46148	Actinoplanes_capillaceus	28	Bacteria
43942	Actinoplanes_consettensis	28	Bacteria
44093	Actinoplanes_couchii	28	Bacteria
45050	Actinoplanes_couchii	28	Bacteria
46137	Actinoplanes_cyaneus	28	Bacteria
43806	Actinoplanes_deccanensis	28	Bacteria
43941	Actinoplanes_derwentensis	28	Bacteria
43149	Actinoplanes_digitatis	28	Bacteria
43939	Actinoplanes_durhamensis	28	Bacteria
43807	Actinoplanes_ferrugineus	28	Bacteria
45797	Actinoplanes_friuliensis	28	Bacteria
44321	Actinoplanes_garbadinensis	28	Bacteria
43857	Actinoplanes_globisporus	28	Bacteria
46643	Actinoplanes_globisporus	28	Bacteria
44249	Actinoplanes_gratiae	28	Bacteria
45728	Actinoplanes_hulinensis	28	Bacteria
43938	Actinoplanes_humidus	28	Bacteria
43864	Actinoplanes_ianthinogenes	28	Bacteria
43146	Actinoplanes_italicus	28	Bacteria
43865	Actinoplanes_liguriensis	28	Bacteria
